time,s4
10.58,-0.9614983
10.59,-0.9658227
10.6,-0.970051
10.61,-0.9741826
10.62,-0.9782173
10.63,-0.9821545
10.64,-0.9859939
10.65,-0.9897351
10.66,-0.9933777
10.67,-0.9969213
10.68,-1.000366
10.69,-1.00371
10.7,-1.006955
10.71,-1.010099
10.72,-1.013142
10.73,-1.016085
10.74,-1.018926
10.75,-1.021666
10.76,-1.024303
10.77,-1.026839
10.78,-1.029272
10.79,-1.031602
10.8,-1.03383
10.81,-1.035954
10.82,-1.037975
10.83,-1.039892
10.84,-1.041706
10.85,-1.043416
10.86,-1.045021
10.87,-1.046522
10.88,-1.047918
10.89,-1.04921
10.9,-1.050397
10.91,-1.05148
10.92,-1.052457
10.93,-1.053329
10.94,-1.054096
10.95,-1.054757
10.96,-1.055313
10.97,-1.055764
10.98,-1.056109
10.99,-1.056348
11.0,-1.056482
11.01,-1.05651
11.02,-1.056433
11.03,-1.056249
11.04,-1.055961
11.05,-1.055566
11.06,-1.055066
11.07,-1.054461
11.08,-1.05375
11.09,-1.052933
11.1,-1.052011
11.11,-1.050984
11.12,-1.049852
11.13,-1.048615
11.14,-1.047272
11.15,-1.045825
11.16,-1.044273
11.17,-1.042616
11.18,-1.040855
11.19,-1.03899
11.2,-1.037021
11.21,-1.034947
11.22,-1.03277
11.23,-1.03049
11.24,-1.028106
11.25,-1.025619
11.26,-1.02303
11.27,-1.020338
11.28,-1.017543
11.29,-1.014647
11.3,-1.011648
11.31,-1.008549
11.32,-1.005348
11.33,-1.002046
11.34,-0.998644
11.35,-0.9951415
11.36,-0.9915392
11.37,-0.9878374
11.38,-0.9840364
11.39,-0.9801366
11.4,-0.9761385
11.41,-0.9720423
11.42,-0.9678485
11.43,-0.9635575
11.44,-0.9591697
11.45,-0.9546856
11.46,-0.9501055
11.47,-0.94543
11.48,-0.9406595
11.49,-0.9357944
11.5,-0.9308353
11.51,-0.9257826
11.52,-0.9206368
11.53,-0.9153984
11.54,-0.910068
11.55,-0.904646
11.56,-0.899133
11.57,-0.8935296
11.58,-0.8878362
11.59,-0.8820535
11.6,-0.876182
11.61,-0.8702223
11.62,-0.864175
11.63,-0.8580407
11.64,-0.8518199
11.65,-0.8455134
11.66,-0.8391217
11.67,-0.8326454
11.68,-0.8260852
11.69,-0.8194417
11.7,-0.8127157
11.71,-0.8059076
11.72,-0.7990184
11.73,-0.7920485
11.74,-0.7849987
11.75,-0.7778697
11.76,-0.7706623
11.77,-0.763377
11.78,-0.7560147
11.79,-0.748576
11.8,-0.7410618
11.81,-0.7334726
11.82,-0.7258094
11.83,-0.7180729
11.84,-0.7102637
11.85,-0.7023827
11.86,-0.6944308
11.87,-0.6864085
11.88,-0.6783169
11.89,-0.6701566
11.9,-0.6619284
11.91,-0.6536333
11.92,-0.6452719
11.93,-0.6368452
11.94,-0.628354
11.95,-0.6197991
11.96,-0.6111814
11.97,-0.6025016
11.98,-0.5937608
11.99,-0.5849597
12.0,-0.5760992
12.01,-0.5671803
12.02,-0.5582037
12.03,-0.5491704
12.04,-0.5400813
12.05,-0.5309372
12.06,-0.5217392
12.07,-0.5124881
12.08,-0.5031848
12.09,-0.4938302
12.1,-0.4844254
12.11,-0.4749711
12.12,-0.4654684
12.13,-0.4559182
12.14,-0.4463215
12.15,-0.4366792
12.16,-0.4269922
12.17,-0.4172616
12.18,-0.4074883
12.19,-0.3976732
12.2,-0.3878174
12.21,-0.3779218
12.22,-0.3679875
12.23,-0.3580154
12.24,-0.3480064
12.25,-0.3379617
12.26,-0.3278821
12.27,-0.3177688
12.28,-0.3076227
12.29,-0.2974448
12.3,-0.2872361
12.31,-0.2769977
12.32,-0.2667306
12.33,-0.2564358
12.34,-0.2461143
12.35,-0.2357671
12.36,-0.2253954
12.37,-0.215
12.38,-0.2045822
12.39,-0.1941428
12.4,-0.183683
12.41,-0.1732037
12.42,-0.1627061
12.43,-0.1521912
12.44,-0.14166
12.45,-0.1311136
12.46,-0.120553
12.47,-0.1099793
12.48,-0.09939353
12.49,-0.08879678
12.5,-0.07819009
12.51,-0.06757452
12.52,-0.05695114
12.53,-0.04632099
12.54,-0.03568515
12.55,-0.02504468
12.56,-0.01440064
12.57,-0.003754095
12.58,0.006893889
12.59,0.01754225
12.6,0.02818992
12.61,0.03883584
12.62,0.04947893
12.63,0.06011815
12.64,0.07075241
12.65,0.08138067
12.66,0.09200185
12.67,0.1026149
12.68,0.1132187
12.69,0.1238123
12.7,0.1343946
12.71,0.1449644
12.72,0.1555209
12.73,0.1660628
12.74,0.1765892
12.75,0.187099
12.76,0.1975911
12.77,0.2080645
12.78,0.2185182
12.79,0.228951
12.8,0.239362
12.81,0.2497501
12.82,0.2601143
12.83,0.2704535
12.84,0.2807667
12.85,0.2910528
12.86,0.3013109
12.87,0.3115398
12.88,0.3217387
12.89,0.3319063
12.9,0.3420418
12.91,0.3521441
12.92,0.3622122
12.93,0.3722451
12.94,0.3822418
12.95,0.3922012
12.96,0.4021225
12.97,0.4120045
12.98,0.4218462
12.99,0.4316468
13.0,0.4414052
13.01,0.4511205
13.02,0.4607916
13.03,0.4704176
13.04,0.4799975
13.05,0.4895303
13.06,0.4990152
13.07,0.5084511
13.08,0.5178371
13.09,0.5271723
13.1,0.5364557
13.11,0.5456864
13.12,0.5548634
13.13,0.5639859
13.14,0.5730528
13.15,0.5820634
13.16,0.5910167
13.17,0.5999117
13.18,0.6087477
13.19,0.6175237
13.2,0.6262388
13.21,0.6348921
13.22,0.6434829
13.23,0.6520101
13.24,0.660473
13.25,0.6688707
13.26,0.6772023
13.27,0.6854671
13.28,0.6936641
13.29,0.7017926
13.3,0.7098517
13.31,0.7178407
13.32,0.7257586
13.33,0.7336048
13.34,0.7413784
13.35,0.7490786
13.36,0.7567047
13.37,0.7642559
13.38,0.7717315
13.39,0.7791306
13.4,0.7864525
13.41,0.7936965
13.42,0.8008619
13.43,0.8079479
13.44,0.8149538
13.45,0.821879
13.46,0.8287226
13.47,0.835484
13.48,0.8421626
13.49,0.8487576
13.5,0.8552685
13.51,0.8616944
13.52,0.8680348
13.53,0.874289
